bodyId,instance,type,pre,post,status,cropped,size
1670295588,ORN,ORN,71,112,Traced,True,60831944
1670299473,ORN,ORN,80,116,Traced,True,72302431
1670381907,ORN,ORN,166,322,Traced,True,158397048
1670382036,ORN,ORN,78,102,Traced,True,67354048
1670386039,ORN_L,ORN,93,124,Traced,True,90936228
1670386270,,,93,94,Traced,True,82018950
1670390647,ORN,ORN,91,127,Traced,True,70567413
1670394996,,,45,58,Traced,True,61155100
1670411672,ORN,ORN,47,84,Traced,True,49128586
1670588784,ORN_R,ORN,70,117,Traced,True,65624959
1670588790,ORN,ORN,74,127,Traced,True,73518804
1670593041,ORN,ORN,75,124,Traced,True,73432281
1670593195,ORN,ORN,84,146,Traced,True,81338762
1670597359,ORN,ORN,45,47,Traced,True,52735559
1670623474,ORN,ORN,57,90,Traced,True,49903397
1670623676,ORN_R,ORN,194,213,Traced,True,197395791
1670623716,ORN,ORN,64,95,Traced,True,73228713
1670627651,,ORN,64,118,Traced,True,61657786
1670627821,ORN,ORN,54,48,Traced,True,65839155
1670628153,ORN,ORN,79,119,Traced,True,72776494
1670632284,ORN,ORN,76,116,Traced,True,61042319
1670632335,ORN,ORN,69,105,Traced,True,68065467
1670632384,ORN,ORN,59,77,Traced,True,67309104
1670632390,ORN,ORN,73,102,Traced,True,74938593
1670636531,LN(AVM05)_R,olfactory LN,89,280,Traced,False,348108924
1670640429,ORN,ORN,144,169,Traced,True,154510923
1670748385,ORN,ORN,55,89,Traced,True,55176785
1670761442,ORN,ORN,60,81,Traced,True,51065037
1670934124,ORN,ORN,54,98,Traced,True,55126379
1670934131,ORN,ORN,30,55,Traced,True,50609164
1670938437,ORN,ORN,43,63,Traced,True,46871446
1670938446,ORN,ORN,56,92,Traced,True,52704589
1670969318,ADL28j_pct(ADL28)_R,ADL28j_pct,370,7315,Traced,False,2455155434
1670972802,ORN,ORN,78,79,Traced,True,56281609
1671270646,ORN_R,ORN,84,130,Traced,True,74330985
1671270988,ORN,ORN,56,87,Traced,True,55211391
1671271059,ORNpiece,ORN,35,40,Traced,True,38224671
1671271189,ORN,ORN,60,103,Traced,True,57907543
1671275383,ORN,ORN,53,71,Traced,True,42637739
